model,brand,cpu,cpu_score,ram_gb,storage_gb,storage_label,gpu,gpu_score,expected_price_min_krw,expected_price_max_krw,weight_kg,os_type,display,suitable_tags,option_matched_search_query,model_search_link,price_basis_note,must_check_before_buy
Gram 14,LG,i5,2,16,512,512GB,내장,1,1700000,2500000,1.12,Windows,14인치,문서/경영/간호/휴대성,LG Gram 14 i5 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=LG%20Gram%2014%20i5%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 2026 그램/그램 프로 16GB·512GB 가격대 참고,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Gram 16,LG,i7,3,16,512,512GB,내장,1,1700000,2500000,1.2,Windows,16인치,문서/경영/컴퓨터공학/간호/휴대성,LG Gram 16 i7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=LG%20Gram%2016%20i7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 2026 그램/그램 프로 16GB·512GB 가격대 참고,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Gram Pro 16,LG,Core Ultra 7,3,32,1024,1TB,RTX3050,2,3200000,3800000,1.28,Windows,16인치,컴퓨터공학/디자인/영상/휴대성,LG Gram Pro 16 Core Ultra 7 32GB 1TB RTX3050 Windows 노트북,https://search.danawa.com/dsearch.php?query=LG%20Gram%20Pro%2016%20Core%20Ultra%207%2032GB%201TB%20RTX3050%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,다나와 2026 그램 프로 32GB/1TB 검색 결과 318만~340만 원대 확인,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Galaxy Book4,Samsung,i5,2,16,512,512GB,내장,1,800000,1600000,1.55,Windows,15.6인치,문서/경영/간호,Samsung Galaxy Book4 i5 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Samsung%20Galaxy%20Book4%20i5%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Galaxy Book4 Pro 14,Samsung,Core Ultra 5,3,16,512,512GB,내장,1,1700000,2600000,1.23,Windows,14인치,문서/경영/컴퓨터공학/휴대성,Samsung Galaxy Book4 Pro 14 Core Ultra 5 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Samsung%20Galaxy%20Book4%20Pro%2014%20Core%20Ultra%205%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,갤럭시북 Pro급 16GB/512GB 옵션 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Galaxy Book4 Pro 16,Samsung,Core Ultra 7,3,16,512,512GB,내장,1,1700000,2600000,1.56,Windows,16인치,문서/경영/컴퓨터공학,Samsung Galaxy Book4 Pro 16 Core Ultra 7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Samsung%20Galaxy%20Book4%20Pro%2016%20Core%20Ultra%207%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,갤럭시북 Pro급 16GB/512GB 옵션 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Galaxy Book4 Ultra,Samsung,Core Ultra 9,4,32,1024,1TB,RTX4070,5,3000000,3800000,1.86,Windows,16인치,디자인/영상/AI/데이터/콘텐츠/컴퓨터공학,Samsung Galaxy Book4 Ultra Core Ultra 9 32GB 1TB RTX4070 Windows 노트북,https://search.danawa.com/dsearch.php?query=Samsung%20Galaxy%20Book4%20Ultra%20Core%20Ultra%209%2032GB%201TB%20RTX4070%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,RTX4070·32GB·1TB 프리미엄 라인 가격대,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
Galaxy Book5 Pro 360,Samsung,Core Ultra 7,3,16,512,512GB,내장,1,1700000,2600000,1.69,Windows,16인치,문서/경영/디자인/필기/휴대성,Samsung Galaxy Book5 Pro 360 Core Ultra 7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Samsung%20Galaxy%20Book5%20Pro%20360%20Core%20Ultra%207%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,갤럭시북 Pro급 16GB/512GB 옵션 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
ThinkPad E16,Lenovo,Ryzen7,3,16,512,512GB,내장,1,800000,1600000,1.8,Windows,16인치,경영/컴퓨터공학/문서,Lenovo ThinkPad E16 Ryzen7 16GB 512GB Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20ThinkPad%20E16%20Ryzen7%2016GB%20512GB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,일반형 16GB/512GB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
ThinkPad T14,Lenovo,Ryzen7,3,32,1024,1TB,내장,1,1500000,2300000,1.35,Windows,14인치,경영/컴퓨터공학/문서/휴대성,Lenovo ThinkPad T14 Ryzen7 32GB 1TB Windows 노트북,https://search.danawa.com/dsearch.php?query=Lenovo%20ThinkPad%20T14%20Ryzen7%2032GB%201TB%20Windows%20%EB%85%B8%ED%8A%B8%EB%B6%81,내장그래픽 32GB/1TB 생산성 노트북 예상 구매가,검색 결과에서 RAM/SSD/GPU/OS 옵션이 같은지 확인 필요
